# ChatYX voice catalog
# Static provider catalog. Update from the source links in documents/TTS_VOICES.md.

[ChatIS / Streamlabs]
+-----------+-------------------------+--------+------------+
| Voice     | Locale                  | Gender | Features   |
| nl-NL-FennaNeural                 | nl-NL      | Female | General - Friendly, Positive                                   |
| nl-NL-MaartenNeural               | nl-NL      | Male   | General - Friendly, Positive                                   |
| pl-PL-MarekNeural                 | pl-PL      | Male   | General - Friendly, Positive                                   |
| pl-PL-ZofiaNeural                 | pl-PL      | Female | General - Friendly, Positive                                   |
| ps-AF-GulNawazNeural              | ps-AF      | Male   | General - Friendly, Positive                                   |
| ps-AF-LatifaNeural                | ps-AF      | Female | General - Friendly, Positive                                   |
| pt-BR-AntonioNeural               | pt-BR      | Male   | General - Friendly, Positive                                   |
| pt-BR-FranciscaNeural             | pt-BR      | Female | General - Friendly, Positive                                   |
| pt-BR-ThalitaMultilingualNeural   | pt-BR      | Female | General - Friendly, Positive                                   |
| pt-PT-DuarteNeural                | pt-PT      | Male   | General - Friendly, Positive                                   |
| pt-PT-RaquelNeural                | pt-PT      | Female | General - Friendly, Positive                                   |
| ro-RO-AlinaNeural                 | ro-RO      | Female | General - Friendly, Positive                                   |
| ro-RO-EmilNeural                  | ro-RO      | Male   | General - Friendly, Positive                                   |
| ru-RU-DmitryNeural                | ru-RU      | Male   | General - Friendly, Positive                                   |
| ru-RU-SvetlanaNeural              | ru-RU      | Female | General - Friendly, Positive                                   |
| si-LK-SameeraNeural               | si-LK      | Male   | General - Friendly, Positive                                   |
| si-LK-ThiliniNeural               | si-LK      | Female | General - Friendly, Positive                                   |
| sk-SK-LukasNeural                 | sk-SK      | Male   | General - Friendly, Positive                                   |
| sk-SK-ViktoriaNeural              | sk-SK      | Female | General - Friendly, Positive                                   |
| sl-SI-PetraNeural                 | sl-SI      | Female | General - Friendly, Positive                                   |
| sl-SI-RokNeural                   | sl-SI      | Male   | General - Friendly, Positive                                   |
| so-SO-MuuseNeural                 | so-SO      | Male   | General - Friendly, Positive                                   |
| so-SO-UbaxNeural                  | so-SO      | Female | General - Friendly, Positive                                   |
| sq-AL-AnilaNeural                 | sq-AL      | Female | General - Friendly, Positive                                   |
| sq-AL-IlirNeural                  | sq-AL      | Male   | General - Friendly, Positive                                   |
| sr-RS-NicholasNeural              | sr-RS      | Male   | General - Friendly, Positive                                   |
| sr-RS-SophieNeural                | sr-RS      | Female | General - Friendly, Positive                                   |
| su-ID-JajangNeural                | su-ID      | Male   | General - Friendly, Positive                                   |
| su-ID-TutiNeural                  | su-ID      | Female | General - Friendly, Positive                                   |
| sv-SE-MattiasNeural               | sv-SE      | Male   | General - Friendly, Positive                                   |
| sv-SE-SofieNeural                 | sv-SE      | Female | General - Friendly, Positive                                   |
| sw-KE-RafikiNeural                | sw-KE      | Male   | General - Friendly, Positive                                   |
| sw-KE-ZuriNeural                  | sw-KE      | Female | General - Friendly, Positive                                   |
| sw-TZ-DaudiNeural                 | sw-TZ      | Male   | General - Friendly, Positive                                   |
| sw-TZ-RehemaNeural                | sw-TZ      | Female | General - Friendly, Positive                                   |
| ta-IN-PallaviNeural               | ta-IN      | Female | General - Friendly, Positive                                   |
| ta-IN-ValluvarNeural              | ta-IN      | Male   | General - Friendly, Positive                                   |
| ta-LK-KumarNeural                 | ta-LK      | Male   | General - Friendly, Positive                                   |
| ta-LK-SaranyaNeural               | ta-LK      | Female | General - Friendly, Positive                                   |
| ta-MY-KaniNeural                  | ta-MY      | Female | General - Friendly, Positive                                   |
| ta-MY-SuryaNeural                 | ta-MY      | Male   | General - Friendly, Positive                                   |
| ta-SG-AnbuNeural                  | ta-SG      | Male   | General - Friendly, Positive                                   |
| ta-SG-VenbaNeural                 | ta-SG      | Female | General - Friendly, Positive                                   |
| te-IN-MohanNeural                 | te-IN      | Male   | General - Friendly, Positive                                   |
| te-IN-ShrutiNeural                | te-IN      | Female | General - Friendly, Positive                                   |
+-----------------------------------+------------+--------+----------------------------------------------------------------+
