# ChatYX voice catalog
# Static provider catalog. Update from the source links in documents/TTS_VOICES.md.

[ChatIS / Streamlabs]
+-----------+-------------------------+--------+------------+
| Voice     | Locale                  | Gender | Features   |
| Kendra   | English( U S)        | N/A    | AWS Polly subset |
| Joey     | English( U S)        | N/A    | AWS Polly subset |
| Mizuki   | Japanese             | N/A    | AWS Polly subset |
| Chantal  | French( Canadian)    | N/A    | AWS Polly subset |
| Mathieu  | French               | N/A    | AWS Polly subset |
| Maxim    | Russian              | N/A    | AWS Polly subset |
| Hans     | German               | N/A    | AWS Polly subset |
| Raveena  | English( Indian)     | N/A    | AWS Polly subset |
+----------+----------------------+--------+------------------+

[JustDavi / Azure]
+-----------------------------------+------------+--------+----------------------------------------------------------------+
| Voice                             | Locale     | Gender | Features                                                       |
+-----------------------------------+------------+--------+----------------------------------------------------------------+
| af-ZA-AdriNeural                  | af-ZA      | Female | General - Friendly, Positive                                   |
| af-ZA-WillemNeural                | af-ZA      | Male   | General - Friendly, Positive                                   |
| am-ET-AmehaNeural                 | am-ET      | Male   | General - Friendly, Positive                                   |
| am-ET-MekdesNeural                | am-ET      | Female | General - Friendly, Positive                                   |
| ar-AE-FatimaNeural                | ar-AE      | Female | General - Friendly, Positive                                   |
| ar-AE-HamdanNeural                | ar-AE      | Male   | General - Friendly, Positive                                   |
| ar-BH-AliNeural                   | ar-BH      | Male   | General - Friendly, Positive                                   |
| ar-BH-LailaNeural                 | ar-BH      | Female | General - Friendly, Positive                                   |
| ar-DZ-AminaNeural                 | ar-DZ      | Female | General - Friendly, Positive                                   |
| ar-DZ-IsmaelNeural                | ar-DZ      | Male   | General - Friendly, Positive                                   |
| ar-EG-SalmaNeural                 | ar-EG      | Female | General - Friendly, Positive                                   |
| ar-EG-ShakirNeural                | ar-EG      | Male   | General - Friendly, Positive                                   |
| ar-IQ-BasselNeural                | ar-IQ      | Male   | General - Friendly, Positive                                   |
| ar-IQ-RanaNeural                  | ar-IQ      | Female | General - Friendly, Positive                                   |
| ar-JO-SanaNeural                  | ar-JO      | Female | General - Friendly, Positive                                   |
| ar-JO-TaimNeural                  | ar-JO      | Male   | General - Friendly, Positive                                   |
| ar-KW-FahedNeural                 | ar-KW      | Male   | General - Friendly, Positive                                   |
| ar-KW-NouraNeural                 | ar-KW      | Female | General - Friendly, Positive                                   |
| ar-LB-LaylaNeural                 | ar-LB      | Female | General - Friendly, Positive                                   |
| ar-LB-RamiNeural                  | ar-LB      | Male   | General - Friendly, Positive                                   |
| ar-LY-ImanNeural                  | ar-LY      | Female | General - Friendly, Positive                                   |
| ar-LY-OmarNeural                  | ar-LY      | Male   | General - Friendly, Positive                                   |
| ar-MA-JamalNeural                 | ar-MA      | Male   | General - Friendly, Positive                                   |
| ar-MA-MounaNeural                 | ar-MA      | Female | General - Friendly, Positive                                   |
| ar-OM-AbdullahNeural              | ar-OM      | Male   | General - Friendly, Positive                                   |
| ar-OM-AyshaNeural                 | ar-OM      | Female | General - Friendly, Positive                                   |
| ar-QA-AmalNeural                  | ar-QA      | Female | General - Friendly, Positive                                   |
| ar-QA-MoazNeural                  | ar-QA      | Male   | General - Friendly, Positive                                   |
| ar-SA-HamedNeural                 | ar-SA      | Male   | General - Friendly, Positive                                   |
| ar-SA-ZariyahNeural               | ar-SA      | Female | General - Friendly, Positive                                   |
| ar-SY-AmanyNeural                 | ar-SY      | Female | General - Friendly, Positive                                   |
| ar-SY-LaithNeural                 | ar-SY      | Male   | General - Friendly, Positive                                   |
| ar-TN-HediNeural                  | ar-TN      | Male   | General - Friendly, Positive                                   |
| ar-TN-ReemNeural                  | ar-TN      | Female | General - Friendly, Positive                                   |
| ar-YE-MaryamNeural                | ar-YE      | Female | General - Friendly, Positive                                   |
| ar-YE-SalehNeural                 | ar-YE      | Male   | General - Friendly, Positive                                   |
| az-AZ-BabekNeural                 | az-AZ      | Male   | General - Friendly, Positive                                   |
| az-AZ-BanuNeural                  | az-AZ      | Female | General - Friendly, Positive                                   |
| bg-BG-BorislavNeural              | bg-BG      | Male   | General - Friendly, Positive                                   |
| bg-BG-KalinaNeural                | bg-BG      | Female | General - Friendly, Positive                                   |
| bn-BD-NabanitaNeural              | bn-BD      | Female | General - Friendly, Positive                                   |
| bn-BD-PradeepNeural               | bn-BD      | Male   | General - Friendly, Positive                                   |
| bn-IN-BashkarNeural               | bn-IN      | Male   | General - Friendly, Positive                                   |
| bn-IN-TanishaaNeural              | bn-IN      | Female | General - Friendly, Positive                                   |
| bs-BA-GoranNeural                 | bs-BA      | Male   | General - Friendly, Positive                                   |
| bs-BA-VesnaNeural                 | bs-BA      | Female | General - Friendly, Positive                                   |
| ca-ES-EnricNeural                 | ca-ES      | Male   | General - Friendly, Positive                                   |
| ca-ES-JoanaNeural                 | ca-ES      | Female | General - Friendly, Positive                                   |
| cs-CZ-AntoninNeural               | cs-CZ      | Male   | General - Friendly, Positive                                   |
| cs-CZ-VlastaNeural                | cs-CZ      | Female | General - Friendly, Positive                                   |
| cy-GB-AledNeural                  | cy-GB      | Male   | General - Friendly, Positive                                   |
| cy-GB-NiaNeural                   | cy-GB      | Female | General - Friendly, Positive                                   |
| da-DK-ChristelNeural              | da-DK      | Female | General - Friendly, Positive                                   |
| da-DK-JeppeNeural                 | da-DK      | Male   | General - Friendly, Positive                                   |
| de-AT-IngridNeural                | de-AT      | Female | General - Friendly, Positive                                   |
| de-AT-JonasNeural                 | de-AT      | Male   | General - Friendly, Positive                                   |
| de-CH-JanNeural                   | de-CH      | Male   | General - Friendly, Positive                                   |
| de-CH-LeniNeural                  | de-CH      | Female | General - Friendly, Positive                                   |
| de-DE-AmalaNeural                 | de-DE      | Female | General - Friendly, Positive                                   |
| de-DE-ConradNeural                | de-DE      | Male   | General - Friendly, Positive                                   |
| de-DE-FlorianMultilingualNeural   | de-DE      | Male   | General - Friendly, Positive                                   |
| de-DE-KatjaNeural                 | de-DE      | Female | General - Friendly, Positive                                   |
| de-DE-KillianNeural               | de-DE      | Male   | General - Friendly, Positive                                   |
| de-DE-SeraphinaMultilingualNeural | de-DE      | Female | General - Friendly, Positive                                   |
| el-GR-AthinaNeural                | el-GR      | Female | General - Friendly, Positive                                   |
| el-GR-NestorasNeural              | el-GR      | Male   | General - Friendly, Positive                                   |
| en-AU-NatashaNeural               | en-AU      | Female | General - Friendly, Positive                                   |
| en-AU-WilliamNeural               | en-AU      | Male   | General - Friendly, Positive                                   |
| en-CA-ClaraNeural                 | en-CA      | Female | General - Friendly, Positive                                   |
| en-CA-LiamNeural                  | en-CA      | Male   | General - Friendly, Positive                                   |
| en-GB-LibbyNeural                 | en-GB      | Female | General - Friendly, Positive                                   |
| en-GB-MaisieNeural                | en-GB      | Female | General - Friendly, Positive                                   |
| en-GB-RyanNeural                  | en-GB      | Male   | General - Friendly, Positive                                   |
| en-GB-SoniaNeural                 | en-GB      | Female | General - Friendly, Positive                                   |
| en-GB-ThomasNeural                | en-GB      | Male   | General - Friendly, Positive                                   |
| en-HK-SamNeural                   | en-HK      | Male   | General - Friendly, Positive                                   |
| en-HK-YanNeural                   | en-HK      | Female | General - Friendly, Positive                                   |
| en-IE-ConnorNeural                | en-IE      | Male   | General - Friendly, Positive                                   |
| en-IE-EmilyNeural                 | en-IE      | Female | General - Friendly, Positive                                   |
| en-IN-NeerjaExpressiveNeural      | en-IN      | Female | General - Friendly, Positive                                   |
| en-IN-NeerjaNeural                | en-IN      | Female | General - Friendly, Positive                                   |
| en-IN-PrabhatNeural               | en-IN      | Male   | General - Friendly, Positive                                   |
| en-KE-AsiliaNeural                | en-KE      | Female | General - Friendly, Positive                                   |
| en-KE-ChilembaNeural              | en-KE      | Male   | General - Friendly, Positive                                   |
| en-NG-AbeoNeural                  | en-NG      | Male   | General - Friendly, Positive                                   |
| en-NG-EzinneNeural                | en-NG      | Female | General - Friendly, Positive                                   |
| en-NZ-MitchellNeural              | en-NZ      | Male   | General - Friendly, Positive                                   |
| en-NZ-MollyNeural                 | en-NZ      | Female | General - Friendly, Positive                                   |
| en-PH-JamesNeural                 | en-PH      | Male   | General - Friendly, Positive                                   |
| en-PH-RosaNeural                  | en-PH      | Female | General - Friendly, Positive                                   |
| en-SG-LunaNeural                  | en-SG      | Female | General - Friendly, Positive                                   |
| en-SG-WayneNeural                 | en-SG      | Male   | General - Friendly, Positive                                   |
| en-TZ-ElimuNeural                 | en-TZ      | Male   | General - Friendly, Positive                                   |
| en-TZ-ImaniNeural                 | en-TZ      | Female | General - Friendly, Positive                                   |
| en-US-AnaNeural                   | en-US      | Female | Cartoon, Conversation - Cute                                   |
| en-US-AndrewMultilingualNeural    | en-US      | Male   | Conversation, Copilot - Warm, Confident, Authentic, Honest     |
| en-US-AndrewNeural                | en-US      | Male   | Conversation, Copilot - Warm, Confident, Authentic, Honest     |
| en-US-AriaNeural                  | en-US      | Female | News, Novel - Positive, Confident                              |
| en-US-AvaMultilingualNeural       | en-US      | Female | Conversation, Copilot - Expressive, Caring, Pleasant, Friendly |
| en-US-AvaNeural                   | en-US      | Female | Conversation, Copilot - Expressive, Caring, Pleasant, Friendly |
| en-US-BrianMultilingualNeural     | en-US      | Male   | Conversation, Copilot - Approachable, Casual, Sincere          |
| en-US-BrianNeural                 | en-US      | Male   | Conversation, Copilot - Approachable, Casual, Sincere          |
| en-US-ChristopherNeural           | en-US      | Male   | News, Novel - Reliable, Authority                              |
| en-US-EmmaMultilingualNeural      | en-US      | Female | Conversation, Copilot - Cheerful, Clear, Conversational        |
| en-US-EmmaNeural                  | en-US      | Female | Conversation, Copilot - Cheerful, Clear, Conversational        |
| en-US-EricNeural                  | en-US      | Male   | News, Novel - Rational                                         |
| en-US-GuyNeural                   | en-US      | Male   | News, Novel - Passion                                          |
| en-US-JennyNeural                 | en-US      | Female | General - Friendly, Considerate, Comfort                       |
| en-US-MichelleNeural              | en-US      | Female | News, Novel - Friendly, Pleasant                               |
| en-US-RogerNeural                 | en-US      | Male   | News, Novel - Lively                                           |
| en-US-SteffanNeural               | en-US      | Male   | News, Novel - Rational                                         |
| en-ZA-LeahNeural                  | en-ZA      | Female | General - Friendly, Positive                                   |
| en-ZA-LukeNeural                  | en-ZA      | Male   | General - Friendly, Positive                                   |
| es-AR-ElenaNeural                 | es-AR      | Female | General - Friendly, Positive                                   |
| es-AR-TomasNeural                 | es-AR      | Male   | General - Friendly, Positive                                   |
| es-BO-MarceloNeural               | es-BO      | Male   | General - Friendly, Positive                                   |
| es-BO-SofiaNeural                 | es-BO      | Female | General - Friendly, Positive                                   |
| es-CL-CatalinaNeural              | es-CL      | Female | General - Friendly, Positive                                   |
| es-CL-LorenzoNeural               | es-CL      | Male   | General - Friendly, Positive                                   |
| es-CO-GonzaloNeural               | es-CO      | Male   | General - Friendly, Positive                                   |
| es-CO-SalomeNeural                | es-CO      | Female | General - Friendly, Positive                                   |
| es-CR-JuanNeural                  | es-CR      | Male   | General - Friendly, Positive                                   |
| es-CR-MariaNeural                 | es-CR      | Female | General - Friendly, Positive                                   |
| es-CU-BelkysNeural                | es-CU      | Female | General - Friendly, Positive                                   |
| es-CU-ManuelNeural                | es-CU      | Male   | General - Friendly, Positive                                   |
| es-DO-EmilioNeural                | es-DO      | Male   | General - Friendly, Positive                                   |
| es-DO-RamonaNeural                | es-DO      | Female | General - Friendly, Positive                                   |
| es-EC-AndreaNeural                | es-EC      | Female | General - Friendly, Positive                                   |
| es-EC-LuisNeural                  | es-EC      | Male   | General - Friendly, Positive                                   |
